Country name,Ladder score
Finland,7.808700085
Denmark,7.645599842
Switzerland,7.559899807
Iceland,7.504499912
Norway,7.487999916
Netherlands,7.448900223
Sweden,7.353499889
New Zealand,7.299600124
Austria,7.294199944
Luxembourg,7.237500191
Canada,7.23210001
Australia,7.222799778
United Kingdom,7.164500237
Israel,7.128600121
Costa Rica,7.121399879
Ireland,7.093699932
Germany,7.075799942
United States,6.939599991
Czech Republic,6.910900116
Belgium,6.863500118
United Arab Emirates,6.790800095
Malta,6.772799969
France,6.663799763
Mexico,6.465000153
Taiwan Province of China,6.45539999
Uruguay,6.440100193
Saudi Arabia,6.406499863
Spain,6.400899887
Guatemala,6.398900032
Italy,6.38740015
Singapore,6.377099991
Brazil,6.375599861
Slovenia,6.363399982
El Salvador,6.34829998
Kosovo,6.325200081
Panama,6.304800034
Slovakia,6.280600071
Uzbekistan,6.257599831
Chile,6.228499889
Bahrain,6.227300167
Lithuania,6.215499878
Trinidad and Tobago,6.191899776
Poland,6.186299801
Colombia,6.163400173
Cyprus,6.15899992
Nicaragua,6.13710022
Romania,6.123700142
Kuwait,6.102099895
Mauritius,6.101299763
Kazakhstan,6.057899952
Estonia,6.021800041
Philippines,6.006000042
Hungary,6.000400066
Thailand,5.998799801
Argentina,5.974699974
Honduras,5.953199863
Latvia,5.949999809
Ecuador,5.925199986
Portugal,5.910900116
Jamaica,5.889800072
South Korea,5.872399807
Japan,5.870800018
Peru,5.796800137
Serbia,5.77820015
Bolivia,5.747499943
Pakistan,5.69329977
Paraguay,5.692100048
Dominican Republic,5.689199924
Bosnia and Herzegovina,5.674099922
Moldova,5.607500076
Tajikistan,5.555699825
Montenegro,5.54610014
Russia,5.546000004
Kyrgyzstan,5.541500092
Belarus,5.539899826
North Cyprus,5.53550005
Greece,5.514999866
Hong Kong S.A.R. of China,5.510399818
Croatia,5.504700184
Libya,5.488800049
Mongolia,5.456200123
Malaysia,5.384300232
Vietnam,5.353499889
Indonesia,5.285600185
Ivory Coast,5.233300209
Benin,5.21600008
Maldives,5.197599888
Congo (Brazzaville),5.194399834
Azerbaijan,5.164800167
Macedonia,5.159800053
Ghana,5.147999763
Nepal,5.137199879
Turkey,5.131800175
China,5.123899937
Turkmenistan,5.119100094
Bulgaria,5.101500034
Morocco,5.094799995
Cameroon,5.084899902
Venezuela,5.053199768
Algeria,5.005099773
Senegal,4.980800152
Guinea,4.949299812
Niger,4.909599781
Laos,4.888599873
Albania,4.882699966
Cambodia,4.848400116
Bangladesh,4.832799911
Gabon,4.829299927
South Africa,4.814099789
Iraq,4.784800053
Lebanon,4.771500111
Burkina Faso,4.768700123
Gambia,4.750599861
Mali,4.729300022
Nigeria,4.724100113
Armenia,4.676799774
Georgia,4.672599792
Iran,4.672399998
Jordan,4.633399963
Mozambique,4.623600006
Kenya,4.583000183
Namibia,4.571100235
Ukraine,4.56069994
Liberia,4.557899952
Palestinian Territories,4.552800179
Uganda,4.43200016
Chad,4.422699928
Tunisia,4.392199993
Mauritania,4.374599934
Sri Lanka,4.327000141
Congo (Kinshasa),4.31099987
Swaziland,4.308100224
Myanmar,4.308000088
Comoros,4.288599968
Togo,4.187200069
Ethiopia,4.186200142
Madagascar,4.165599823
Egypt,4.151400089
Sierra Leone,3.926399946
Burundi,3.775300026
Zambia,3.759399891
Haiti,3.720799923
Lesotho,3.652800083
India,3.573299885
Malawi,3.538000107
Yemen,3.527400017
Botswana,3.478899956
Tanzania,3.476200104
Central African Republic,3.475899935
Rwanda,3.312299967
Zimbabwe,3.299200058
South Sudan,2.816600084
Afghanistan,2.566900015